protein_name1,protein_name2
P38216,Q03080
Q03080,P38216
P39053,P83510
P83510,P39053
Q99459,P46940
P46940,Q99459
Q80TQ2,P01101
P01101,Q80TQ2
P52490,P53049
P53049,P52490
P0AFS9,P0A843
P0A843,P0AFS9
P18031,O43776
O43776,P18031
P40851,P12754
P12754,P40851
Q14195,Q9NUX5
Q9NUX5,Q14195
P23443,P62753
P62753,P23443
P42838,P17121
P17121,P42838
Q07954,Q9NVN3
Q9NVN3,Q07954
P07900,P29353
P29353,P07900
Q03957,P05738
P05738,Q03957
P38429,P32828
P32828,P38429
Q13144,Q9H813
Q9H813,Q13144
P53141,P19524
P19524,P53141
P06282,P0A9J4
P0A9J4,P06282
Q9UPE1,O95793
O95793,Q9UPE1
O43865,P09012
P09012,O43865
P10962,P53900
P53900,P10962
O42861,Q9P7K7
Q9P7K7,O42861
P31244,P16664
P16664,P31244
P49736,O14933
O14933,P49736
P20248,Q9H211
Q9H211,P20248
P53909,P47027
P47027,P53909
P02545,Q9NW97
Q9NW97,P02545
P16104,Q9UBV8
Q9UBV8,P16104
Q08225,Q05775
Q05775,Q08225
P39960,P17119
P17119,P39960
P31552,P0AE85
P0AE85,P31552
P43571,P19358
P19358,P43571
Q9ULJ8,P62136
P62136,Q9ULJ8
P25054,P11245
P11245,P25054
Q08981,P39713
P39713,Q08981
Q810B6,Q8NB46
Q8NB46,Q810B6
P49411,P09936
P09936,P49411
P06773,P38920
P38920,P06773
P35206,P38626
P38626,P35206
P61289,O75478
O75478,P61289
P06576,O95466
O95466,P06576
Q7L2E3,Q9BYC9
Q9BYC9,Q7L2E3
P23394,P49704
P49704,P23394
Q96N67,P63000
P63000,Q96N67
P0A9A6,P0AAA7
P0AAA7,P0A9A6
Q8NBQ5,Q9NRD1
Q9NRD1,Q8NBQ5
P28004,Q08963
Q08963,P28004
P21560,P37267
P37267,P21560
P16525,P29010
P29010,P16525
P38782,P31688
P31688,P38782
Q9UBT2,Q6YHU6
Q6YHU6,Q9UBT2
P53170,P53326
P53326,P53170
P30619,P39926
P39926,P30619
Q8NAX2,Q5BKZ1
Q5BKZ1,Q8NAX2
Q9UIH9,O43167
O43167,Q9UIH9
Q9H741,Q9H1K6
Q9H1K6,Q9H741
Q9BXS5,P01106
P01106,Q9BXS5
P53067,Q12321
Q12321,P53067
P19174,P20936
P20936,P19174
P36156,P11491
P11491,P36156
P40458,P38221
P38221,P40458
P38305,P41896
P41896,P38305
P18760,Q80V62
Q80V62,P18760
A2A432,Q6P5G6
Q6P5G6,A2A432
Q91VD9,Q9DB77
Q9DB77,Q91VD9
Q06512,P36160
P36160,Q06512
P0A9H9,P0AEJ2
P0AEJ2,P0A9H9
P0AAI3,P77377
P77377,P0AAI3
P0C0V0,P39385
P39385,P0C0V0
P52870,P39986
P39986,P52870
P02545,Q13277
Q13277,P02545
Q92841,Q92769
Q92769,Q92841
P14314,P16949
P16949,P14314
P39517,P32804
P32804,P39517
P40357,Q08144
Q08144,P40357
Q92841,Q9BXM7
Q9BXM7,Q92841
P38710,P36172
P36172,P38710
Q12494,P53840
P53840,Q12494
P0CX42,Q9URQ3
Q9URQ3,P0CX42
Q9UG63,P38398
P38398,Q9UG63
P53951,P53253
P53253,P53951
Q32P44,P61956
P61956,Q32P44
P29466,P52732
P52732,P29466
P32912,P36036
P36036,P32912
P05374,P51862
P51862,P05374
P32353,P25586
P25586,P32353
P53154,P38753
P38753,P53154
Q6S8J3,Q96CM3
Q96CM3,Q6S8J3
O64903,P14712
P14712,O64903
Q7Z7H8,O75394
O75394,Q7Z7H8
P51587,P11387
P11387,P51587
Q9VVW5,P40417
P40417,Q9VVW5
P33327,P47114
P47114,P33327
P12814,Q9Y6R0
Q9Y6R0,P12814
P27824,Q9Y639
Q9Y639,P27824
P31943,O43541
O43541,P31943
P33297,P41805
P41805,P33297
P04629,P17812
P17812,P04629
Q5T686,O15160
O15160,Q5T686
P49767,P35916
P35916,P49767
P49411,Q8TCC3
Q8TCC3,P49411
P0ABC9,P75683
P75683,P0ABC9
Q00987,P62987
P62987,Q00987
P07900,Q00613
Q00613,P07900
Q9BYR6,Q5T754
Q5T754,Q9BYR6
P38822,P11632
P11632,P38822
P32352,Q3E7Z2
Q3E7Z2,P32352
P38398,Q7Z406
Q7Z406,P38398
P0ABJ6,P0AC88
P0AC88,P0ABJ6
O43900,Q9H871
Q9H871,O43900
P32591,P38085
P38085,P32591
P35817,P25385
P25385,P35817
P08018,P53878
P53878,P08018
Q9P2A4,Q8N8S7
Q8N8S7,Q9P2A4
P31384,P38848
P38848,P31384
Q14103,P49459
P49459,Q14103
P53280,Q12514
Q12514,P53280
Q9LK24,Q39022
Q39022,Q9LK24
Q9BUH8,O14980
O14980,Q9BUH8
P28340,P04843
P04843,P28340
P42804,P42804
O94972,Q69YN4
Q69YN4,O94972
P39517,P04456
P04456,P39517
P15070,P0AFT8
P0AFT8,P15070
P77488,P28306
P28306,P77488
P21372,P40016
P40016,P21372
P59226,P59259
P59259,P59226
O13612,O42980
O42980,O13612
P03953,Q9QXT0
Q9QXT0,P03953
Q96ME1,P07900
P07900,Q96ME1
Q8IW40,Q16512
Q16512,Q8IW40
P33174,Q63HN8
Q63HN8,P33174
P10644,O75400
O75400,P10644
P22696,P39927
P39927,P22696
P36062,P28496
P28496,P36062
P40465,P32849
P32849,P40465
Q9CQY1,O88522
O88522,Q9CQY1
P50091,P40102
P40102,P50091
Q96BP2,P07196
P07196,Q96BP2
Q969H0,Q9UKL0
Q9UKL0,Q969H0
Q9BYD6,P09651
P09651,Q9BYD6
P38199,P38780
P38780,P38199
Q06706,P42935
P42935,Q06706
Q01560,Q08245
Q08245,Q01560
P00811,P26458
P26458,P00811
Q12158,P40541
P40541,Q12158
P32458,Q12345
Q12345,P32458
P0A6L4,P0AFH2
P0AFH2,P0A6L4
Q60631,P35568
P35568,Q60631
P36154,P00427
P00427,P36154
P37267,P36160
P36160,P37267
Q15700,Q07666
Q07666,Q15700
Q15910,Q96ST3
Q96ST3,Q15910
P39966,P22214
P22214,P39966
P0AA04,P75948
P75948,P0AA04
Q12509,P10363
P10363,Q12509
P38813,P39007
P39007,P38813
O95239,O43663
O43663,O95239
P0DTD8,Q9BVK6
Q9BVK6,P0DTD8
P40013,P38991
P38991,P40013
P11836,P01903
P01903,P11836
Q04689,P32477
P32477,Q04689
P0A932,P0A917
P0A917,P0A932
Q9Y5V3,O95947
O95947,Q9Y5V3
P01129,Q09830
Q09830,P01129
P0ADI4,P0AFS3
P0AFS3,P0ADI4
Q08446,P52286
P52286,Q08446
P40325,P53086
P53086,P40325
Q9US54,Q9P7S4
Q9P7S4,Q9US54
P29555,P54733
P54733,P29555
Q12262,Q01649
Q01649,Q12262
Q8K337,Q01968
Q01968,Q8K337
A2RVQ5,P29386
P29386,A2RVQ5
P40991,P25808
P25808,P40991
P48421,Q39033
Q39033,P48421
Q14CW9,Q16514
Q16514,Q14CW9
P47170,Q07807
Q07807,P47170
O42861,O74333
O74333,O42861
P43034,Q14258
Q14258,P43034
