protein_name1,protein_name2
P40005,P25344
P25344,P40005
Q9Y6K9,P21580
P21580,Q9Y6K9
Q9BQ67,P08621
P08621,Q9BQ67
P45758,P04951
P04951,P45758
P58546,Q09028
Q09028,P58546
Q9NWT6,P53007
P53007,Q9NWT6
P38877,Q12158
Q12158,P38877
P49687,P41920
P41920,P49687
P38817,P15938
P15938,P38817
P53959,P38875
P38875,P53959
Q07500,P32611
P32611,Q07500
Q9UM11,P35453
P35453,Q9UM11
Q6ZUT1,Q9UNP9
Q9UNP9,Q6ZUT1
Q49A88,Q8IX90
Q8IX90,Q49A88
Q03529,Q08446
Q08446,Q03529
P17891,P40084
P40084,P17891
O36016,Q09778
Q09778,O36016
Q9NS73,Q9UK41
Q9UK41,Q9NS73
Q80XD1,Q62172
Q62172,Q80XD1
Q9NX58,O94761
O94761,Q9NX58
Q4G0J3,Q9BYG3
Q9BYG3,Q4G0J3
P15873,Q08831
Q08831,P15873
P06787,P54000
P54000,P06787
O35387,Q9H5H4
Q9H5H4,O35387
P52893,Q04867
Q04867,P52893
P38272,P31688
P31688,P38272
P41832,P25342
P25342,P41832
Q9BT25,Q96KN7
Q96KN7,Q9BT25
Q15139,Q9UDY2
Q9UDY2,Q15139
Q00539,Q08963
Q08963,Q00539
P36148,Q12093
Q12093,P36148
P53104,P32462
P32462,P53104
Q2KJY2,Q12933
Q12933,Q2KJY2
O76015,Q9BWG6
Q9BWG6,O76015
P40069,P05750
P05750,P40069
Q99741,Q9UBD5
Q9UBD5,Q99741
P40367,P36017
P36017,P40367
P13586,P36012
P36012,P13586
P46985,P12611
P12611,P46985
P32797,Q06163
Q06163,P32797
P38139,Q03976
Q03976,P38139
P34369,Q18786
Q18786,P34369
P06782,Q05934
Q05934,P06782
P77170,P76361
P76361,P77170
Q99383,P10591
P10591,Q99383
Q92615,Q12986
Q12986,Q92615
Q03529,Q06217
Q06217,Q03529
Q8WV22,Q96MF7
Q96MF7,Q8WV22
Q9URQ3,Q08234
Q08234,Q9URQ3
Q12306,P54730
P54730,Q12306
Q14728,P78317
P78317,Q14728
P67984,P52875
P52875,P67984
Q9ZWM9,Q940H6
Q940H6,Q9ZWM9
P32325,P38358
P38358,P32325
Q9Y4K4,Q9HCE7
Q9HCE7,Q9Y4K4
P16370,P41895
P41895,P16370
Q13838,Q96T37
Q96T37,Q13838
P07384,P49356
P49356,P07384
Q61097,P04049
P04049,Q61097
P08566,P32943
P32943,P08566
P40467,P32468
P32468,P40467
Q99836,P58753
P58753,Q99836
Q6P1J9,Q9GZP4
Q9GZP4,Q6P1J9
Q9SJF3,Q9LKB9
Q9LKB9,Q9SJF3
Q8IXW5,P19387
P19387,Q8IXW5
P32657,P32896
P32896,P32657
P20052,P33775
P33775,P20052
P25694,Q06667
Q06667,P25694
O14874,Q13501
Q13501,O14874
Q06706,P29295
P29295,Q06706
Q12102,P40073
P40073,Q12102
Q9C0C7,Q96AP4
Q96AP4,Q9C0C7
P33309,P0CX48
P0CX48,P33309
O35375,O88632
O88632,O35375
Q9HCE1,Q68CZ2
Q68CZ2,Q9HCE1
P27695,Q9H7X0
Q9H7X0,P27695
A2AGT5,Q9CXH7
Q9CXH7,A2AGT5
A4D161,Q99471
Q99471,A4D161
Q09665,Q9GYF1
Q9GYF1,Q09665
Q12743,P34223
P34223,Q12743
O75348,Q9Y4E6
Q9Y4E6,O75348
P32835,P47123
P47123,P32835
B9DHT4,Q9SVY1
Q9SVY1,B9DHT4
P12954,P53840
P53840,P12954
Q03957,P47052
P47052,Q03957
Q06218,P15436
P15436,Q06218
O00471,Q8IYI6
Q8IYI6,O00471
P03958,Q9CWH5
Q9CWH5,P03958
Q9SEZ7,O81223
O81223,Q9SEZ7
P40342,Q12052
Q12052,P40342
P03372,P35637
P35637,P03372
P26793,P32828
P32828,P26793
P23292,P32855
P32855,P23292
P35817,Q07442
Q07442,P35817
P52867,P40533
P40533,P52867
Q16186,Q13490
Q13490,Q16186
P78318,O00743
O00743,P78318
P28708,Q00578
Q00578,P28708
Q8TF46,Q01780
Q01780,Q8TF46
Q96FE7,A2RU14
A2RU14,Q96FE7
P36873,P14373
P14373,P36873
Q04651,P53262
P53262,Q04651
Q04206,P51668
P51668,Q04206
P39517,P36018
P36018,P39517
Q9NPI6,Q9UHD2
Q9UHD2,Q9NPI6
Q9NXC5,Q96S15
Q96S15,Q9NXC5
P32529,Q01477
Q01477,P32529
Q03103,P20081
P20081,Q03103
P01106,Q9GZS1
Q9GZS1,P01106
P49626,P40586
P40586,P49626
Q9BTC0,P33778
P33778,Q9BTC0
Q13520,Q96IW7
Q96IW7,Q13520
Q12163,Q03497
Q03497,Q12163
P0DTD8,Q92930
Q92930,P0DTD8
Q92905,Q8NBE8
Q8NBE8,Q92905
Q12905,O95235
O95235,Q12905
Q16254,Q6MZP7
Q6MZP7,Q16254
P25376,P35187
P35187,P25376
P25301,P07703
P07703,P25301
Q53GS7,Q8IWR0
Q8IWR0,Q53GS7
P40970,P25655
P25655,P40970
O94495,O14100
O14100,O94495
P53068,P09798
P09798,P53068
P27830,Q47706
Q47706,P27830
P15056,P04049
P04049,P15056
P51668,Q9D9X6
Q9D9X6,P51668
Q96J01,Q6I9Y2
Q6I9Y2,Q96J01
Q9EQU5,P80316
P80316,Q9EQU5
P09798,P54791
P54791,P09798
P14681,P06782
P06782,P14681
O15554,Q01453
Q01453,O15554
P35187,Q03049
Q03049,P35187
P36548,P0AAD2
P0AAD2,P36548
O95831,P0DTD1
P0DTD1,O95831
P05373,Q07458
Q07458,P05373
P34160,P14120
P14120,P34160
O14336,Q9UUI7
Q9UUI7,O14336
O15354,Q86TM6
Q86TM6,O15354
P07253,P21269
P21269,P07253
Q00005,P78371
P78371,Q00005
Q7L2J0,Q9Y2S7
Q9Y2S7,Q7L2J0
P25628,Q6Q5P6
Q6Q5P6,P25628
Q9BQ52,Q7L0Y3
Q7L0Y3,Q9BQ52
Q07887,Q03529
Q03529,Q07887
P0AEN4,P76011
P76011,P0AEN4
P12881,Q9V3G7
Q9V3G7,P12881
P0AEZ3,P27129
P27129,P0AEZ3
P40568,P05317
P05317,P40568
P41810,P43621
P43621,P41810
P14127,Q01477
Q01477,P14127
P0ABH0,P45761
P45761,P0ABH0
P11938,Q03433
Q03433,P11938
P60201,P25942
P25942,P60201
Q9XWI6,Q18967
Q18967,Q9XWI6
P0CE41,P30656
P30656,P0CE41
Q13618,O15226
O15226,Q13618
P40991,Q12496
Q12496,P40991
P24180,P0ADH5
P0ADH5,P24180
P0DTC7,Q8N0U8
Q8N0U8,P0DTC7
P45956,P24202
P24202,P45956
P0AB80,P31122
P31122,P0AB80
Q9NVJ2,P0DTC6
P0DTC6,Q9NVJ2
P32829,P53236
P53236,P32829
Q9H7H0,Q9BQC6
Q9BQC6,Q9H7H0
P32490,P12688
P12688,P32490
Q5T1M5,P35244
P35244,Q5T1M5
P04637,Q8NDX5
Q8NDX5,P04637
Q13228,Q92734
Q92734,Q13228
Q96KC8,Q86Y07
Q86Y07,Q96KC8
P31384,Q04048
Q04048,P31384
P40529,P53769
P53769,P40529
P53244,P53230
P53230,P53244
Q9Y3I0,P49903
P49903,Q9Y3I0
Q12099,Q06287
Q06287,Q12099
Q14315,Q92565
Q92565,Q14315
P38065,Q12416
Q12416,P38065
P04075,Q99714
Q99714,P04075
Q9HCE1,Q9Y619
Q9Y619,Q9HCE1
P08622,P75830
P75830,P08622
Q8WTW3,P63279
P63279,Q8WTW3
P47170,P38164
P38164,P47170
Q01815,Q62205
Q62205,Q01815
Q9Y5S9,P62249
P62249,Q9Y5S9
Q14103,P43246
P43246,Q14103
P05825,P60782
P60782,P05825
Q9UTD4,P87061
P87061,Q9UTD4
P24583,P40347
P40347,P24583
Q9NRD5,Q08117
Q08117,Q9NRD5
Q9Y547,Q86VQ0
Q86VQ0,Q9Y547
P21246,P05386
P05386,P21246
Q8TDT2,Q5QGT7
Q5QGT7,Q8TDT2
Q9NQ29,Q9BRS2
Q9BRS2,Q9NQ29
O08749,Q9CR68
Q9CR68,O08749
P0AF52,P75783
P75783,P0AF52
Q9UPQ3,Q69YN4
Q69YN4,Q9UPQ3
P06996,P39381
P39381,P06996
P62841,Q15029
Q15029,P62841
P23824,P23204
P23204,P23824
P32629,P17123
P17123,P32629
P0C058,P0ACX3
P0ACX3,P0C058
Q9NWU2,Q9H7D7
Q9H7D7,Q9NWU2
Q9CQ22,Q9JHS3
Q9JHS3,Q9CQ22
Q9Y297,P30304
P30304,Q9Y297
P48837,Q6WNK7
Q6WNK7,P48837
Q13315,P04637
P04637,Q13315
P40348,P38251
P38251,P40348
Q04370,P35056
P35056,Q04370
Q6ZPU9,P67936
P67936,Q6ZPU9
P39054,O54890
O54890,P39054
Q92851,O14730
O14730,Q92851
Q8TF21,Q13432
Q13432,Q8TF21
P12383,P38915
P38915,P12383
Q6KC79,Q9HCK1
Q9HCK1,Q6KC79
P17214,Q08749
Q08749,P17214
P38144,Q03940
Q03940,P38144
P05141,O75530
O75530,P05141
O13648,P18869
P18869,O13648
O09111,P37840
P37840,O09111
P53267,Q12382
Q12382,P53267
P40991,Q6WNK7
Q6WNK7,P40991
Q13042,Q12834
Q12834,Q13042
O95714,P35268
P35268,O95714
O62106,Q21930
Q21930,O62106
Q9NPI1,Q6P5Z2
Q6P5Z2,Q9NPI1
Q9Y6K9,Q9Y6K9
P36106,P38741
P38741,P36106
O60884,P35232
P35232,O60884
P0AFN6,P0AAZ7
P0AAZ7,P0AFN6
P00533,P15927
P15927,P00533
P54254,O08784
O08784,P54254
Q08211,Q14258
Q14258,Q08211
Q08773,P54003
P54003,Q08773
P57773,P62993
P62993,P57773
P08432,P20053
P20053,P08432
P40850,P40459
P40459,P40850
P75863,P39270
P39270,P75863
P53905,P22148
P22148,P53905
Q6Y7W6,P56524
P56524,Q6Y7W6
Q15116,Q9UBH6
Q9UBH6,Q15116
O42709,Q9HE16
Q9HE16,O42709
P15202,P38144
P38144,P15202
Q9VN50,Q9W2D9
Q9W2D9,Q9VN50
P38273,P38806
P38806,P38273
O94646,O74825
O74825,O94646
P39521,P25655
P25655,P39521
P40986,P32524
P32524,P40986
P30777,Q12133
Q12133,P30777
Q00597,Q96QB1
Q96QB1,Q00597
P47974,Q9BQ24
Q9BQ24,P47974
P48232,P31688
P31688,P48232
Q96ER3,Q9H1C4
Q9H1C4,Q96ER3
P18502,Q9VX32
Q9VX32,P18502
Q8WWM7,Q9H8V3
Q9H8V3,Q8WWM7
P13586,P17214
P17214,P13586
P32629,P25344
P25344,P32629
P25385,P25386
P25386,P25385
P47963,Q6ZWV7
Q6ZWV7,P47963
P33417,Q04120
Q04120,P33417
Q8WXX5,P13010
P13010,Q8WXX5
P12904,P47155
P47155,P12904
P0A932,P71311
P71311,P0A932
P36528,P26370
P26370,P36528
Q10990,P27574
P27574,Q10990
P36037,Q03433
Q03433,P36037
Q9UKV3,O95198
O95198,Q9UKV3
Q9HBD1,P25398
P25398,Q9HBD1
Q8WVZ9,P49006
P49006,Q8WVZ9
P00817,Q07807
Q07807,P00817
Q01080,P38187
P38187,Q01080
P46671,Q02205
Q02205,P46671
Q3E840,P51401
P51401,Q3E840
P0A968,P76210
P76210,P0A968
P62259,P08003
P08003,P62259
P35179,P35723
P35723,P35179
Q4G0J3,P62310
P62310,Q4G0J3
Q05123,P40505
P40505,Q05123
O74477,Q09831
Q09831,O74477
Q12271,P25297
P25297,Q12271
Q8BH95,P16332
P16332,Q8BH95
O14207,P41412
P41412,O14207
P04406,Q9HBL8
Q9HBL8,P04406
P40357,P31109
P31109,P40357
P38305,P06776
P06776,P38305
Q8TAP6,Q14119
Q14119,Q8TAP6
P36406,Q9P0T4
Q9P0T4,P36406
Q06385,P39702
P39702,Q06385
P47114,P38869
P38869,P47114
P00533,O14818
O14818,P00533
P53905,P22139
P22139,P53905
Q969H0,O60315
O60315,Q969H0
Q07807,P18480
P18480,Q07807
P25385,P38630
P38630,P25385
P39525,P41909
P41909,P39525
Q05513,Q96IZ0
Q96IZ0,Q05513
P75746,Q2EEP9
Q2EEP9,P75746
P60010,P21304
P21304,P60010
Q9BZS1,Q9UKT9
Q9UKT9,Q9BZS1
O48946,Q941L0
Q941L0,O48946
P53731,P06101
P06101,P53731
Q9UJX2,Q9BWE0
Q9BWE0,Q9UJX2
Q10432,P41003
P41003,Q10432
Q06678,P43582
P43582,Q06678
P0ABD5,P75733
P75733,P0ABD5
P54254,Q9ERU9
Q9ERU9,P54254
Q14AX6,Q8C5N3
Q8C5N3,Q14AX6
P10275,Q13889
Q13889,P10275
P0AAF6,P0ACJ8
P0ACJ8,P0AAF6
P07992,Q12962
Q12962,P07992
O74874,O94451
O94451,O74874
P54837,P01123
P01123,P54837
O43707,P28062
P28062,O43707
Q03718,Q06199
Q06199,Q03718
P25644,P25357
P25357,P25644
Q02883,Q08749
Q08749,Q02883
P45530,P36928
P36928,P45530
O15084,P04233
P04233,O15084
Q12420,P40342
P40342,Q12420
Q46927,P0A9T8
P0A9T8,Q46927
Q562R1,P43363
P43363,Q562R1
Q15910,P55209
P55209,Q15910
P25322,P39689
P39689,P25322
Q9UUD2,Q9P7H6
Q9P7H6,Q9UUD2
P75745,Q9Z3A0
Q9Z3A0,P75745
O94761,Q9Y3I0
Q9Y3I0,O94761
P31943,P20700
P20700,P31943
P90866,P52166
P52166,P90866
Q19877,Q93573
Q93573,Q19877
P05704,P60872
P60872,P05704
P15172,Q99623
Q99623,P15172
Q12959,O14910
O14910,Q12959
Q02908,P32558
P32558,Q02908
P20248,O75496
O75496,P20248
Q9NSP4,P46013
P46013,Q9NSP4
Q9P6M0,O14351
O14351,Q9P6M0
O94307,O14127
O14127,O94307
P41733,P32896
P32896,P41733
Q00362,Q06412
Q06412,Q00362
O74920,P78817
P78817,O74920
P30130,P76083
P76083,P30130
Q00402,P10622
P10622,Q00402
P0A6H1,P33135
P33135,P0A6H1
Q8IYS2,Q8N5S9
Q8N5S9,Q8IYS2
O95167,Q9Y320
Q9Y320,O95167
Q9BW61,Q9P2J5
Q9P2J5,Q9BW61
Q9HDZ6,Q10148
Q10148,Q9HDZ6
Q9H8T0,Q86VS8
Q86VS8,Q9H8T0
Q05777,P32915
P32915,Q05777
P39925,P40961
P40961,P39925
P05523,P75870
P75870,P05523
P67729,P0AF70
P0AF70,P67729
P43596,Q03529
Q03529,P43596
P49336,Q71SY5
Q71SY5,P49336
P33240,Q9NP77
Q9NP77,P33240
P04819,P47163
P47163,P04819
P35240,P26373
P26373,P35240
Q04370,P38164
P38164,Q04370
P38429,P40505
P40505,P38429
P46965,P38729
P38729,P46965
Q9UGJ1,P14373
P14373,Q9UGJ1
P38090,P32266
P32266,P38090
P35631,Q9FMX2
Q9FMX2,P35631
Q12018,P27697
P27697,Q12018
P48837,Q03761
Q03761,P48837
Q96ST3,Q12824
Q12824,Q96ST3
Q9NXR7,P46736
P46736,Q9NXR7
P76398,P31122
P31122,P76398
O94281,O13688
O13688,O94281
P35606,Q4G0J3
Q4G0J3,P35606
P17612,Q04206
Q04206,P17612
P07315,Q9C029
Q9C029,P07315
Q8NHM5,Q99496
Q99496,Q8NHM5
Q13618,P63172
P63172,Q13618
P0A6Q3,P23877
P23877,P0A6Q3
Q86X59,Q9NP31
Q9NP31,Q86X59
O43889,Q99735
Q99735,O43889
P46676,P38129
P38129,P46676
Q9H1X3,Q92543
Q92543,Q9H1X3
P38953,P38889
P38889,P38953
P40340,P36165
P36165,P40340
Q13618,Q14318
Q14318,Q13618
A6NKB5,Q69YN4
Q69YN4,A6NKB5
Q13510,Q9BUP3
Q9BUP3,Q13510
Q99278,P07390
P07390,Q99278
Q02750,P27708
P27708,Q02750
O94330,Q9UTH8
Q9UTH8,O94330
P48581,Q03796
Q03796,P48581
Q14526,O75925
O75925,Q14526
P27695,P80303
P80303,P27695
P53195,P36015
P36015,P53195
P03372,Q9NPJ4
Q9NPJ4,P03372
P62258,P27348
P27348,P62258
P38071,P50947
P50947,P38071
P50110,Q07878
Q07878,P50110
P0ABF1,P07813
P07813,P0ABF1
Q04087,Q99257
Q99257,Q04087
Q12154,Q12109
Q12109,Q12154
P25343,Q08579
Q08579,P25343
P32432,P38129
P38129,P32432
Q8IY31,Q96NL6
Q96NL6,Q8IY31
Q13009,Q9ULJ3
Q9ULJ3,Q13009
Q9P7T4,P87236
P87236,Q9P7T4
P27323,P51818
P51818,P27323
O94425,Q9HFE7
Q9HFE7,O94425
Q8WU76,Q12981
Q12981,Q8WU76
Q8TEM1,Q8VE37
Q8VE37,Q8TEM1
P23542,Q02794
Q02794,P23542
P38682,Q04080
Q04080,P38682
Q12499,P14120
P14120,Q12499
Q01850,P01106
P01106,Q01850
Q969Z0,Q6PML9
Q6PML9,Q969Z0
P53935,Q06168
Q06168,P53935
Q9Y5K6,Q96EY5
Q96EY5,Q9Y5K6
K9N7C7,K9N7C7
P35181,P19736
P19736,P35181
Q9Y5V3,P26651
P26651,Q9Y5V3
P0AE08,P0ABH9
P0ABH9,P0AE08
Q9Y3D6,P56589
P56589,Q9Y3D6
Q13085,Q4G0J3
Q4G0J3,Q13085
P16387,Q3E804
Q3E804,P16387
P0A903,P75733
P75733,P0A903
P43586,P53261
P53261,P43586
P51572,P46527
P46527,P51572
P12753,P32591
P32591,P12753
Q60520,Q91ZW3
Q91ZW3,Q60520
O74350,O13911
O13911,O74350
P0AD42,P0AD44
P0AD44,P0AD42
P09405,P62960
P62960,P09405
P38637,P41920
P41920,P38637
Q10713,Q9NQ50
Q9NQ50,Q10713
P50580,P14869
P14869,P50580
Q07896,P36528
P36528,Q07896
P37759,P0A850
P0A850,P37759
P40969,Q02908
Q02908,P40969
P25656,P32505
P32505,P25656
Q09849,O94603
O94603,Q09849
P53355,O43427
O43427,P53355
P0AEZ7,P0ADE4
P0ADE4,P0AEZ7
P0ADB4,P39836
P39836,P0ADB4
Q12406,P39517
P39517,Q12406
P32353,Q12297
Q12297,P32353
P69222,P69739
P69739,P69222
O94533,O59793
O59793,O94533
P52799,Q9NRD5
Q9NRD5,P52799
P36023,P35200
P35200,P36023
P10614,P25443
P25443,P10614
P38711,P38904
P38904,P38711
P28306,P39328
P39328,P28306
P15454,P32910
P32910,P15454
P11709,P24871
P24871,P11709
P60953,O00401
O00401,P60953
Q17RY0,O00571
O00571,Q17RY0
P50273,Q12361
Q12361,P50273
Q8WVX3,Q96BA8
Q96BA8,Q8WVX3
P54397,P54397
P46999,P14906
P14906,P46999
P61830,P22336
P22336,P61830
P13365,P25302
P25302,P13365
Q38946,O80585
O80585,Q38946
Q94ID6,Q9S7W5
Q9S7W5,Q94ID6
P26793,P25301
P25301,P26793
P32378,Q00618
Q00618,P32378
P30876,Q9H741
Q9H741,P30876
P38848,Q99359
Q99359,P38848
P17693,Q9BRX8
Q9BRX8,P17693
P68104,P12004
P12004,P68104
P49687,Q06685
Q06685,P49687
Q9NWU5,Q13148
Q13148,Q9NWU5
P30613,P01116
P01116,P30613
P16862,P53313
P53313,P16862
P53849,P53251
P53251,P53849
P0A6F5,P76509
P76509,P0A6F5
P38991,Q9URQ3
Q9URQ3,P38991
P0C0V0,P45546
P45546,P0C0V0
Q12986,P46776
P46776,Q12986
Q53G59,Q53G59
P37028,P42915
P42915,P37028
Q9Y4G6,O95801
O95801,Q9Y4G6
Q12150,P32829
P32829,Q12150
P11021,O95302
O95302,P11021
Q14203,Q7Z4H7
Q7Z4H7,Q14203
P16474,P38199
P38199,P16474
Q1HFZ0,Q9WU28
Q9WU28,Q1HFZ0
O13820,P87236
P87236,O13820
Q8NA61,P51959
P51959,Q8NA61
P09152,P39165
P39165,P09152
Q9P6H9,Q09819
Q09819,Q9P6H9
Q06340,P32828
P32828,Q06340
P63010,P0DTC5
P0DTC5,P63010
Q9UKV3,Q6ZUT1
Q6ZUT1,Q9UKV3
Q46897,P27296
P27296,Q46897
Q07821,P29478
P29478,Q07821
P20449,P40075
P40075,P20449
Q9Y6A1,O95498
O95498,Q9Y6A1
Q12006,P32566
P32566,Q12006
Q14999,P33176
P33176,Q14999
Q8IX15,P32969
P32969,Q8IX15
P38069,Q01590
Q01590,P38069
P30052,Q45VV3
Q45VV3,P30052
P0ABM9,P76423
P76423,P0ABM9
P33334,Q12151
Q12151,P33334
Q8NB49,Q7TFA1
Q7TFA1,Q8NB49
Q01919,P35182
P35182,Q01919
P31466,P0A6E6
P0A6E6,P31466
P32629,P36115
P36115,P32629
P0AES4,P04152
P04152,P0AES4
P78358,P51687
P51687,P78358
P06777,Q03497
Q03497,P06777
P32910,P47076
P47076,P32910
Q96CB8,P43631
P43631,Q96CB8
O14175,Q9P7T9
Q9P7T9,O14175
P0ABB8,P77858
P77858,P0ABB8
Q9NRF9,O60264
O60264,Q9NRF9
Q96LU5,O94826
O94826,Q96LU5
P24077,P09148
P09148,P24077
P60010,P47124
P47124,P60010
P39748,P12004
P12004,P39748
P53112,P33338
P33338,P53112
P13902,Q07468
Q07468,P13902
P35711,P35711
P38330,P00958
P00958,P38330
P97481,Q0VBL6
Q0VBL6,P97481
P38696,P47017
P47017,P38696
Q06409,P54861
P54861,Q06409
P04386,Q12241
Q12241,P04386
Q8N9T8,P08621
P08621,Q8N9T8
Q4L235,P81274
P81274,Q4L235
P38631,P38996
P38996,P38631
P0DTD2,Q9Y230
Q9Y230,P0DTD2
Q9EP53,P17036
P17036,Q9EP53
O00167,Q15475
Q15475,O00167
P38134,P21513
P21513,P38134
Q12510,P31385
P31385,Q12510
Q06340,P48412
P48412,Q06340
Q9Y6H1,Q9UKT9
Q9UKT9,Q9Y6H1
Q08211,Q15029
Q15029,Q08211
P02545,O15173
O15173,P02545
Q5VYK3,Q8IYW5
Q8IYW5,Q5VYK3
Q01454,P30665
P30665,Q01454
Q08965,P40055
P40055,Q08965
P49711,P62829
P62829,P49711
P0A6P9,P76655
P76655,P0A6P9
P25573,P13433
P13433,P25573
Q02786,P25343
P25343,Q02786
P42704,O95182
O95182,P42704
Q03020,P12685
P12685,Q03020
P11679,Q8VDZ4
Q8VDZ4,P11679
P40970,Q99260
Q99260,P40970
P38936,O75398
O75398,P38936
P02293,P53897
P53897,P02293
O43502,Q06609
Q06609,O43502
P10275,P35222
P35222,P10275
Q09100,O74843
O74843,Q09100
P53259,P43565
P43565,P53259
P34244,P39001
P39001,P34244
O74856,O42991
O42991,O74856
Q15139,Q9NQX4
Q9NQX4,Q15139
O14578,Q8TAQ2
Q8TAQ2,O14578
P21957,Q12328
Q12328,P21957
P08965,O74958
O74958,P08965
Q6P8X1,Q9QZE7
Q9QZE7,Q6P8X1
P34241,P30822
P30822,P34241
P40492,Q06005
Q06005,P40492
Q8VDD5,P60903
P60903,Q8VDD5
Q9Y696,Q8WXX5
Q8WXX5,Q9Y696
O75360,Q9Y458
Q9Y458,O75360
P54784,P38826
P38826,P54784
P37001,P0AFR0
P0AFR0,P37001
P32353,P0CX37
P0CX37,P32353
P25586,P45818
P45818,P25586
P83916,Q5VZL5
Q5VZL5,P83916
Q24572,Q24368
Q24368,Q24572
O59748,O42700
O42700,O59748
Q12406,P43554
P43554,Q12406
O13351,P87176
P87176,O13351
Q9P6M8,O60139
O60139,Q9P6M8
P35201,P29478
P29478,P35201
P60229,P62750
P62750,P60229
Q10477,Q9URY1
Q9URY1,Q10477
P53049,Q08984
Q08984,P53049
Q02318,Q86UE4
Q86UE4,Q02318
Q12163,Q08187
Q08187,Q12163
Q9BRK4,Q15561
Q15561,Q9BRK4
P15030,P58034
P58034,P15030
P81450,Q3E752
Q3E752,P81450
Q03661,P41800
P41800,Q03661
P43571,P09547
P09547,P43571
P29375,Q14258
Q14258,P29375
Q9NUP1,Q9Y3C0
Q9Y3C0,Q9NUP1
P40367,Q03407
Q03407,P40367
Q9M325,Q8VYS5
Q8VYS5,Q9M325
P0AFS3,P0AG96
P0AG96,P0AFS3
Q8TC76,O75420
O75420,Q8TC76
P0A968,P0AAU5
P0AAU5,P0A968
P62805,Q9P2N5
Q9P2N5,P62805
P39517,P36056
P36056,P39517
P0AFR0,P39381
P39381,P0AFR0
Q96GY3,Q08999
Q08999,Q96GY3
Q86W74,Q5W186
Q5W186,Q86W74
Q03833,P38199
P38199,Q03833
P00950,Q12000
Q12000,P00950
Q99459,Q9P013
Q9P013,Q99459
P49687,P38882
P38882,P49687
P0AFT5,P0AB26
P0AB26,P0AFT5
Q5JTH9,Q9NRC8
Q9NRC8,Q5JTH9
Q04089,Q03018
Q03018,Q04089
O81149,Q9SGW3
Q9SGW3,O81149
P07249,P11746
P11746,P07249
O95817,P48556
P48556,O95817
Q14498,Q9UNX3
Q9UNX3,Q14498
Q15517,P49862
P49862,Q15517
Q9BWF3,Q9H5V9
Q9H5V9,Q9BWF3
O88531,Q60857
Q60857,O88531
Q14005,O60237
O60237,Q14005
Q9Y0A7,Q02936
Q02936,Q9Y0A7
Q9UBS0,Q93008
Q93008,Q9UBS0
Q9NZN9,Q8IYB5
Q8IYB5,Q9NZN9
Q10426,Q9UUK4
Q9UUK4,Q10426
Q01519,P38708
P38708,Q01519
Q46925,P0AF86
P0AF86,Q46925
P60010,Q04216
Q04216,P60010
P07256,Q03713
Q03713,P07256
P08559,P11387
P11387,P08559
P25787,P28072
P28072,P25787
O43303,Q16531
Q16531,O43303
P38691,P40150
P40150,P38691
P13656,P0A6T5
P0A6T5,P13656
P03372,Q15788
Q15788,P03372
P53889,P25491
P25491,P53889
P35201,P38283
P38283,P35201
Q8WU76,O43264
O43264,Q8WU76
P84085,Q9Y6K9
Q9Y6K9,P84085
P60953,Q5S007
Q5S007,P60953
P07278,P16120
P16120,P07278
P33298,Q12513
Q12513,P33298
Q6WNK7,P39001
P39001,Q6WNK7
P53004,P59633
P59633,P53004
Q6GQV0,E9Q735
E9Q735,Q6GQV0
P0AAI5,P67095
P67095,P0AAI5
P0A6S5,Q9Z3A0
Q9Z3A0,P0A6S5
P51610,Q15796
Q15796,P51610
P40395,P41807
P41807,P40395
P42798,P60039
P60039,P42798
Q9BW11,Q9HAJ7
Q9HAJ7,Q9BW11
Q02948,Q00416
Q00416,Q02948
Q9Y6I3,Q86X19
Q86X19,Q9Y6I3
Q03406,Q12030
Q12030,Q03406
Q91XV3,Q64092
Q64092,Q91XV3
Q925E7,P11983
P11983,Q925E7
P36873,P30050
P30050,P36873
P42073,P36104
P36104,P42073
P16092,Q8BKG3
Q8BKG3,P16092
P33895,P06782
P06782,P33895
P32334,Q03088
Q03088,P32334
P43124,P32945
P32945,P43124
P53849,P43609
P43609,P53849
Q13323,P23297
P23297,Q13323
Q9D8N1,Q9P0K7
Q9P0K7,Q9D8N1
Q07418,P47045
P47045,Q07418
Q96AG4,P62917
P62917,Q96AG4
P08194,P0AAH8
P0AAH8,P08194
P11746,P46988
P46988,P11746
P24534,P49736
P49736,P24534
Q12080,Q03529
Q03529,Q12080
Q00772,P24276
P24276,Q00772
P13382,P40583
P40583,P13382
Q92572,Q8NHX9
Q8NHX9,Q92572
O15315,O43502
O43502,O15315
P13233,Q5XIE8
Q5XIE8,P13233
P05453,P38616
P38616,P05453
P82673,A3KMH1
A3KMH1,P82673
P37344,P0A8K8
P0A8K8,P37344
P38199,P40561
P40561,P38199
P62834,Q9C0B0
Q9C0B0,P62834
Q9Y366,Q16825
Q16825,Q9Y366
Q96FJ2,Q9P2Z0
Q9P2Z0,Q96FJ2
P20449,P40993
P40993,P20449
P08195,P05556
P05556,P08195
P49840,Q8IYB3
Q8IYB3,P49840
Q12104,Q08231
Q08231,Q12104
P38300,Q04608
Q04608,P38300
P29295,Q03790
Q03790,P29295
P18409,P36112
P36112,P18409
P25651,P35187
P35187,P25651
P50105,P53040
P53040,P50105
O14217,Q9USL6
Q9USL6,O14217
P04551,P32372
P32372,P04551
