drugid1,drugid2
DB06288,DB00014
DB00014,DB06288
DB00014,DB06663
DB06663,DB00014
DB00014,DB08864
DB08864,DB00014
DB08871,DB00014
DB00014,DB08871
DB00014,DB09080
DB09080,DB00014
DB00014,DB12245
DB12245,DB00014
DB14185,DB00014
DB00014,DB14185
DB01142,DB00014
DB00014,DB01142
DB01151,DB00014
DB00014,DB01151
DB00845,DB00014
DB00014,DB00845
DB11796,DB00014
DB00014,DB11796
DB00014,DB00864
DB00864,DB00014
DB00014,DB00377
DB00377,DB00014
DB00014,DB09104
DB09104,DB00014
DB00014,DB11915
DB11915,DB00014
DB00014,DB13139
DB13139,DB00014
DB00014,DB14509
DB14509,DB00014
DB00014,DB00331
DB00331,DB00014
DB00014,DB00656
DB00656,DB00014
DB11986,DB00014
DB00014,DB11986
DB00014,DB12825
DB12825,DB00014
DB00014,DB00557
DB00557,DB00014
DB00014,DB00246
DB00246,DB00014
DB00014,DB00502
DB00502,DB00014
DB00472,DB00014
DB00014,DB00472
DB00564,DB00035
DB00035,DB00564
DB00477,DB00035
DB00035,DB00477
DB00618,DB00035
DB00035,DB00618
DB00035,DB00555
DB00555,DB00035
DB00035,DB06212
DB06212,DB00035
DB00035,DB00176
DB00176,DB00035
DB00215,DB00035
DB00035,DB00215
DB00035,DB00472
DB00472,DB00035
DB00035,DB00476
DB00476,DB00035
DB00035,DB00715
DB00715,DB00035
DB00035,DB01104
DB01104,DB00035
DB00035,DB01175
DB01175,DB00035
DB00035,DB04896
DB04896,DB00035
DB00035,DB06700
DB06700,DB00035
DB00035,DB08918
DB08918,DB00035
DB00035,DB00584
DB00584,DB00035
DB00035,DB00193
DB00193,DB00035
DB00035,DB00295
DB00295,DB00035
DB00318,DB00035
DB00035,DB00318
DB00035,DB00327
DB00327,DB00035
DB00035,DB00333
DB00333,DB00035
DB00035,DB00454
DB00454,DB00035
DB00035,DB00497
DB00497,DB00035
DB00611,DB00035
DB00035,DB00611
DB00035,DB00647
DB00647,DB00035
DB00035,DB00708
DB00708,DB00035
DB00802,DB00035
DB00035,DB00802
DB00035,DB00813
DB00813,DB00035
DB00035,DB00844
DB00844,DB00035
DB00035,DB00854
DB00854,DB00035
DB00035,DB00899
DB00899,DB00035
DB00921,DB00035
DB00035,DB00921
DB00035,DB00956
DB00956,DB00035
DB00035,DB01192
DB01192,DB00035
DB00035,DB01209
DB01209,DB00035
DB00035,DB01227
DB01227,DB00035
DB00035,DB06204
DB06204,DB00035
DB00035,DB00368
DB00368,DB00035
DB00035,DB00370
DB00370,DB00035
DB00035,DB00668
DB00668,DB00035
DB00035,DB01064
DB01064,DB00035
DB00035,DB06684
DB06684,DB00035
DB00321,DB00035
DB00035,DB00321
DB00035,DB00344
DB00344,DB00035
DB00035,DB00458
DB00458,DB00035
DB00035,DB00540
DB00540,DB00035
DB00543,DB00035
DB00035,DB00543
DB00035,DB00726
DB00726,DB00035
DB00035,DB01142
DB01142,DB00035
DB01151,DB00035
DB00035,DB01151
DB01242,DB00035
DB00035,DB01242
DB00035,DB00328
DB00328,DB00035
DB00035,DB00461
DB00461,DB00035
DB00035,DB00465
DB00465,DB00035
DB00482,DB00035
DB00035,DB00482
DB00035,DB00500
DB00500,DB00035
DB00035,DB00533
DB00533,DB00035
DB00035,DB00554
DB00554,DB00035
DB00035,DB00573
DB00573,DB00035
DB00035,DB00580
DB00580,DB00035
DB00035,DB00586
DB00586,DB00035
DB00035,DB00605
DB00605,DB00035
DB00035,DB00712
DB00712,DB00035
DB00035,DB00749
DB00749,DB00035
DB00035,DB00784
DB00784,DB00035
DB00035,DB00788
DB00788,DB00035
DB00035,DB00812
DB00812,DB00035
DB00035,DB00814
DB00814,DB00035
DB00035,DB00939
DB00939,DB00035
DB00035,DB00991
DB00991,DB00035
DB00035,DB01009
DB01009,DB00035
DB00035,DB01050
DB01050,DB00035
DB00035,DB00903
DB00903,DB00035
DB00035,DB00285
DB00285,DB00035
DB00035,DB00502
DB00502,DB00035
DB00035,DB00635
DB00635,DB00035
DB00672,DB00035
DB00035,DB00672
DB00035,DB00841
DB00841,DB00035
DB00035,DB00934
DB00934,DB00035
DB00035,DB00968
DB00968,DB00035
DB00035,DB00988
DB00988,DB00035
DB00035,DB01181
DB01181,DB00035
DB01222,DB00035
DB00035,DB01222
DB00035,DB09068
DB09068,DB00035
DB00035,DB09477
DB09477,DB00035
DB00515,DB00035
DB00035,DB00515
DB00035,DB00695
DB00695,DB00035
DB00887,DB00035
DB00035,DB00887
DB00035,DB00214
DB00214,DB00035
DB00564,DB00067
DB00067,DB00564
DB00368,DB00067
DB00067,DB00368
DB14509,DB00067
DB00067,DB14509
DB00080,DB00175
DB00175,DB00080
DB00080,DB00227
DB00227,DB00080
DB00439,DB00080
DB00080,DB00439
DB00080,DB00641
DB00641,DB00080
DB01076,DB00080
DB00080,DB01076
DB00080,DB01095
DB01095,DB00080
DB00080,DB01098
DB01098,DB00080
DB00080,DB08860
DB08860,DB00080
DB00091,DB00080
DB00080,DB00091
DB00080,DB00328
DB00328,DB00080
DB00080,DB00461
DB00461,DB00080
DB00080,DB00465
DB00465,DB00080
DB00482,DB00080
DB00080,DB00482
DB00080,DB00500
DB00500,DB00080
DB00080,DB00533
DB00533,DB00080
DB00080,DB00554
DB00554,DB00080
DB00080,DB00573
DB00573,DB00080
DB00080,DB00580
DB00580,DB00080
DB00080,DB00586
DB00586,DB00080
DB00080,DB00605
DB00605,DB00080
DB00080,DB00749
DB00749,DB00080
DB00080,DB00784
DB00784,DB00080
DB00080,DB00788
DB00788,DB00080
DB00080,DB00812
DB00812,DB00080
DB00080,DB00814
DB00814,DB00080
DB00080,DB00939
DB00939,DB00080
DB00080,DB00991
DB00991,DB00080
DB00080,DB01009
DB01009,DB00080
DB00080,DB01050
DB01050,DB00080
DB00080,DB00783
DB00783,DB00080
DB00080,DB01024
DB01024,DB00080
DB00080,DB00684
DB00684,DB00080
DB00080,DB00682
DB00682,DB00080
DB00080,DB01395
DB01395,DB00080
DB00080,DB00266
DB00266,DB00080
DB00636,DB00080
DB00080,DB00636
DB00080,DB00688
DB00688,DB00080
DB00080,DB01039
DB01039,DB00080
DB00080,DB01241
DB01241,DB00080
DB00080,DB13873
DB13873,DB00080
DB00091,DB00337
DB00337,DB00091
DB00091,DB01656
DB01656,DB00091
DB00819,DB00091
DB00091,DB00819
DB09026,DB00091
DB00091,DB09026
DB06403,DB00091
DB00091,DB06403
DB01118,DB00091
DB00091,DB01118
DB00091,DB01026
DB01026,DB00091
DB01076,DB00091
DB00091,DB01076
DB01200,DB00091
DB00091,DB01200
DB00564,DB00091
DB00091,DB00564
DB01136,DB00091
DB00091,DB01136
DB00520,DB00091
DB00091,DB00520
DB00446,DB00091
DB00091,DB00446
DB00091,DB00222
DB00222,DB00091
DB02659,DB00091
DB00091,DB02659
DB08865,DB00091
DB00091,DB08865
DB00531,DB00091
DB00091,DB00531
DB00091,DB00390
DB00390,DB00091
DB00091,DB04855
DB04855,DB00091
DB00091,DB09075
DB09075,DB00091
DB00091,DB08899
DB08899,DB00091
DB00091,DB00773
DB00773,DB00091
DB00091,DB01590
DB01590,DB00091
DB00091,DB00973
DB00973,DB00091
DB00091,DB00196
DB00196,DB00091
DB00091,DB01095
DB01095,DB00091
DB00091,DB00529
DB00529,DB00091
DB00091,DB00252
DB00252,DB00091
DB00091,DB01320
DB01320,DB00091
DB00091,DB01016
DB01016,DB00091
DB00091,DB00400
DB00400,DB00091
DB00091,DB00227
DB00227,DB00091
DB00091,DB01042
DB01042,DB00091
DB00091,DB00563
DB00563,DB00091
DB00091,DB00959
DB00959,DB00091
DB00091,DB01233
DB01233,DB00091
DB00091,DB00834
DB00834,DB00091
DB00091,DB01204
DB01204,DB00091
DB06413,DB00091
DB00091,DB06413
DB00091,DB00745
DB00745,DB00091
DB00091,DB00607
DB00607,DB00091
DB00091,DB01059
DB01059,DB00091
DB00091,DB00338
DB00338,DB00091
DB00091,DB00736
DB00736,DB00091
DB00091,DB01083
DB01083,DB00091
DB00091,DB08860
DB08860,DB00091
DB00091,DB00175
DB00175,DB00091
DB00091,DB06480
DB06480,DB00091
DB00091,DB00339
DB00339,DB00091
DB00091,DB00243
DB00243,DB00091
DB00091,DB00912
DB00912,DB00091
DB00091,DB00503
DB00503,DB00091
DB00091,DB01098
DB01098,DB00091
DB00091,DB00658
DB00658,DB00091
DB00091,DB06207
DB06207,DB00091
DB00091,DB06290
DB06290,DB00091
DB00091,DB00641
DB00641,DB00091
DB00091,DB01138
DB01138,DB00091
DB00091,DB05521
DB05521,DB00091
DB00091,DB08816
DB08816,DB00091
DB00381,DB00091
DB00091,DB00381
DB00091,DB09039
DB09039,DB00091
DB00091,DB04908
DB04908,DB00091
DB00091,DB09083
DB09083,DB00091
DB00091,DB08820
DB08820,DB00091
DB00091,DB08815
DB08815,DB00091
DB00091,DB09049
DB09049,DB00091
DB00091,DB09143
DB09143,DB00091
DB00091,DB00202
DB00202,DB00091
DB00565,DB00091
DB00091,DB00565
DB00091,DB00728
DB00728,DB00091
DB00732,DB00091
DB00091,DB00732
DB00091,DB01135
DB01135,DB00091
DB00091,DB01226
DB01226,DB00091
DB00091,DB01336
DB01336,DB00091
DB00091,DB01337
DB01337,DB00091
DB00091,DB01338
DB01338,DB00091
DB00091,DB01339
DB01339,DB00091
DB00091,DB04834
DB04834,DB00091
DB00091,DB01199
DB01199,DB00091
DB00091,DB01253
DB01253,DB00091
DB00091,DB15685
