drugid1,protein_name
DB06641,P48736
D0YH0N,P30531
DB16044,P50406
DB12675,Q13639
DB01012,P41180
DB12051,P26664
D02ZBW,P27487
DB16053,Q9Y5Y4
DB12598,P01375
D02RZL,P00533
DB12774,P42345
DB12507,P00734
DB11961,P39900
DB15333,Q8NER1
D00PFW,P32246
DB16073,Q13255
DB06629,P25101
DB12242,O14757
DB14810,P35557
DB11946,Q9Y5Y4
DB14949,O75907
D00LSW,P37288
D0O8JW,P27815
D0O8JW,Q07343
D0O8JW,Q08499
D0A8IE,P28223
D0A8IE,P14416
D0A8IE,P08912
DB11800,P35968
DB11800,P35916
DB15221,P10275
DB06666,P19113
DB00360,P00439
D0RJ6R,P08908
D0W6LW,P03366
DB14787,Q99705
D0B4SZ,P26664
D0H7QU,P26664
D04MCY,P03366
DB14850,P26664
D06KJQ,P03366
DB08916,P00533
DB08916,P04626
D0U3XL,P00533
D0U3XL,P04626
D0U3XL,Q15303
D0U3XL,P06241
D0U3XL,P06239
D0U3XL,P07948
D0U3XL,P35916
D0U3XL,P07947
DB05966,P03372
DB11697,O60674
DB05475,P40763
D06CVN,P15328
DB13062,P42345
DB13074,Q92847
DB15029,P42338
DB11703,Q06187
D0R4YQ,P08709
D0N1AS,Q99705
D02LCL,P05412
D0J7EH,P29474
D0C6VV,P16083
DB15229,Q00975
D0F3II,P14174
D0SK1W,P30559
D0E0NM,P00519
D06YSP,P07900
DB12854,P15056
D04FVD,P08908
D04FVD,P28221
DB16137,Q06418
DB13868,P16753
DB03044,P08631
DB04847,Q9GZT9
DB09053,P51813
DB00737,P05981
DB00317,Q07912
DB12154,Q06418
D05GBV,P48764
DB13103,Q02880
D03FIA,P11836
DB15008,P15941
DB12876,P03366
DB11852,P26664
D0E8MW,P35354
D0X5YU,P07900
DB12635,P05154
D0PQ3V,Q9UNI1
D00BHL,P15328
D0IJ2H,P08912
D0W0RT,P12008
D0B1VQ,P48039
D0XB1M,P03366
D09SCI,P09917
D00BWF,P18825
D02AOD,O60760
DB06403,P25101
D0Y7JU,P04150
D08VSI,P40238
D0K5ER,P37231
DB01037,P25103
D0Z4XW,P11387
D07NJI,P08908
D0F0ZE,P00533
D0F0ZE,P04626
D0B4TT,P35367
D0B4TT,Q9Y5N1
D0B7SP,P08908
D05MCS,P20292
D02KMG,P07550
DB05255,P41180
D01QXY,P11229
D0T2IH,Q16539
D0HI1K,P35462
D0J2VB,Q14116
D0J2VB,P11836
DB12140,Q16539
D08LDB,P03366
DB11682,Q96KS0
DB15120,Q9Y5N1
D0ZC0M,P34998
DB12427,P25103
DB12935,Q9NY91
DB14822,O43613
D09JFY,P35348
D09JFY,Q9H8P0
DB11818,P30559
DB12270,Q16539
D0A1AQ,P37231
D0Q6IW,P37231
DB12703,P48736
DB05009,P29274
DB01235,P14416
D07BSE,Q9Y5Y7
DB00484,P18825
DB11800,P17948
DB09082,P07550
DB09076,P08912
DB09071,P48039
DB09071,P49286
DB09063,Q9UM73
DB11963,P04626
DB11963,Q15303
DB12729,Q9UM73
DB12200,P08581
D07SMD,P08908
DB11560,Q96S37
D0S3UH,P50406
D07EVI,Q99808
DB00158,Q96NT5
DB00563,Q96NT5
D0UZ9U,Q96NT5
D0OL4R,Q86X55
D07ILQ,Q8TDV5
D01PNV,O00763
DB12096,O00763
DB11953,O76083
D05LSB,P35354
DB02079,P35520
D06FHD,P31749
D05JFI,P31749
D07SVE,P31749
D09DGE,P31749
D09CCZ,P31749
D08SIT,P45983
D0CR9I,P68400
D01EPO,Q13555
DB02953,P15085
D0R3KN,Q96IY4
D05IPF,P27487
D0L1NF,P27487
D0Q4DO,P27487
D07YOX,P27487
D0R7HA,P27487
D0V4RK,P27487
D05WKT,P27487
DB14898,P27487
DB11950,P27487
D05VDI,Q9UNA0
D06CWM,Q99062
D0W1DI,P40238
D03PYO,P40238
D0Z5AV,P40238
D0R9QW,P36897
D04FVP,P36897
D0T6IX,P36897
DB11963,P00533
D08TPS,P00533
D0Y1LD,P00533
DB16288,P30542
D0F1MU,P06213
D0T2UB,P10721
DB00495,P36888
DB12746,P36888
DB11697,P36888
D07OIZ,P35968
D07BZQ,P08581
D03IDK,Q9UM73
D0I3TD,Q9UM73
D09VAB,Q9UQB9
DB09053,Q06187
D0J8FE,P24941
D0T4SJ,P24941
D0OC6H,O14757
D00EPT,O96017
D0TU7I,P29275
D07OQZ,P29275
DB15190,Q8IW41
D06MWU,P0DMS8
D0I5QK,P42345
D08SAZ,P42345
DB14846,P42345
DB12681,P42345
D0N7WB,P14416
D03TYT,P14416
DB14846,P42338
D03FIE,P48736
D0I5QK,P48736
D00JIV,P48736
DB14846,P48736
D07MEX,P48736
D03KHN,P48736
D01HHH,P53350
DB12062,P53350
D00VSQ,P21917
DB12010,P43405
D09PJK,Q07912
D03GAN,P17655
D05QCE,P23946
D0V4NY,P53634
D0FJ3P,P43235
D0V5LJ,P25774
DB09075,P00742
DB15132,P00734
D0PV4H,Q99538
D01GAZ,P05067
D0K9ZU,P05067
D0HK7G,P05067
D0C4BI,Q92847
DB00843,P22303
DB00989,P22303
D04LMJ,P22303
D0NN5F,P06276
DB13928,P43220
DB01037,P27338
D0I9LO,P27338
D01XHU,P30968
DB00644,P30968
D0K8KJ,P23141
D0W4WP,P05091
DB00703,P00915
D0A6NP,P11387
D0N0VW,P11387
D0E8JO,P12461
DB12279,Q13547
D09NWW,P21453
D0CO9Z,O95136
D02WRO,P28845
D0CG0G,P28845
DB05327,P15121
DB07330,P09874
D04ABS,P09874
DB15289,P01111
DB01205,P30536
DB12537,P30536
D06OFD,P30536
D0M6FP,P13945
D03INQ,P13945
D09PYZ,P41594
DB12567,O43193
D0W9ZT,P41143
DB00497,P35372
D0TA3V,P35372
DB06441,Q9H244
D0R7IU,P49190
D0HK3U,Q9Y5Y4
D02VNJ,Q9Y5Y4
D0O7TO,Q9Y5Y4
D02QTU,Q9Y5Y4
DB00688,P43116
D08QIR,P43088
D00QFY,P43119
DB06663,P30872
DB06663,P30874
DB06663,P32745
DB06663,P35346
D0Z8DO,P30518
D07LWT,P30559
D0BR7M,P30411
DB02966,P42261
D03RGP,P42262
DB02966,P42262
D03RGP,P42263
DB02966,P42263
D03RGP,P48058
DB02966,P48058
DB04152,P39086
DB02852,P39086
DB02852,Q13002
DB02852,Q16099
DB02852,Q16478
DB02655,Q05586
DB00128,Q05586
DB02655,Q12879
DB00128,Q12879
DB02655,Q13224
DB00128,Q13224
DB02655,Q14957
DB00128,Q14957
DB02655,O15399
DB00128,O15399
DB04660,P08912
D0B2JL,P08912
D0SR3T,P36544
D0Z0EH,P36544
DB13182,Q9UL62
D05APW,Q8NER1
D0J8NC,Q8NER1
D09YTH,Q13936
D09YTH,Q01668
D09YTH,O00555
D0JJ8A,Q00975
D09YTH,Q00975
D0XA3W,P41180
D04YLU,P21554
D03RTC,P21554
D04VWL,P21554
D0EY1K,P21554
D03CHA,P21554
D09QLR,P21554
D0V0YM,P21554
D0UX4A,P34972
D09DSK,P34972
D06SRX,P34972
D05RKV,P34972
D0Y4NY,P34972
D07ZTD,P10828
D02XNT,P41597
D0C5XF,P41597
D0R3VL,P51679
DB00481,P03372
DB04468,P03372
DB00896,P11474
DB02901,P10275
DB08838,Q9UHC3
D0D6KW,Q9UHC3
D04QAE,P49682
D05TYV,P49682
D04EDQ,P49682
D0N4FJ,P13569
D03QJA,P61073
D0Q7XS,P61073
DB12452,P48165
DB03956,Q14643
D0UU5O,P28335
DB02655,P43003
DB02655,P43004
DB02655,P43005
DB02655,P48664
DB02655,O00341
D0H1UY,Q13639
DB12853,Q13639
D02JIS,P23975
DB05964,P23975
D00QGB,Q01959
DB05964,Q01959
DB05964,P31645
DB00906,P30531
DB15106,P11362
DB15106,P17948
DB15106,P35968
DB15106,P35916
DB00997,O14746
DB00544,O14746
DB00544,P04818
DB00619,Q07820
DB05528,P04114
D05LTJ,P47871
DB11836,P42345
DB11779,P03366
DB12883,P08908
DB12883,P28335
D02RID,P12931
DB12284,P35557
DB00396,P06401
D08DGW,P00807
D07SMH,P03366
DB11929,P03366
D0F5VX,Q9Y243
D08FKX,P08908
D08FKX,P14416
DB03523,Q02127
DB14870,Q92847
D09XOF,P78358
D0H5LC,P04293
D0PM9P,P0A0K8
D06SJZ,Q02880
D0B5PU,P25101
D0T6PV,P0A0K8
D0TR4Z,P03372
D06KOL,P23975
D0Y3JI,P03366
DB12375,P27815
DB12375,Q07343
DB12375,Q08499
DB12417,P27487
D02KLD,P50406
D01SQI,P01024
D04FKX,Q7Z2W7
D01IBO,P00734
D0E2FZ,O43526
D0E2FZ,O43525
D0NU6Y,Q13258
D0N8UY,P25103
DB06508,P08648
D07BDY,P11473
D02XSL,P48067
D0V9BU,Q6G9K4
DB06178,P15328
D03FPA,P02647
D01HVS,P43119
DB06638,P19338
DB04889,P23975
DB04889,P31645
DB12899,P01584
DB15651,P04293
D08HXG,P01008
DB06251,P25105
D07PMG,P11387
DB15186,P48736
DB13095,P26664
D02HTD,P26664
D02MNR,P40238
D08SIT,P11021
D0U3LK,P06213
DB12724,P26664
D0U2FN,Q07869
DB12694,P32238
D04MGI,P04578
D0V0VI,P05067
D08DFU,P03366
D04LWT,Q9UKP6
D0V5FQ,P10828
D09JGH,P15328
D0Y9HH,P17787
D02MNY,P06493
D0ZI5A,P35968
D08OTE,Q14416
D08OTE,Q14832
DB00371,Q02156
D0F5BL,P23219
DB05861,P06702
DB12884,P25021
D04QKU,P41594
DB06140,P50406
D0R8HY,P48067
DB12858,P13945
D03TNA,P21917
D0H2JP,P35372
D02FCU,P03159
DB15355,P16066
D06XBN,P19338
D00LNW,O14980
DB15046,O14842
DB05431,P09917
D0MM6A,P15559
D04VBF,Q9H3N8
DB12416,P00797
DB14779,P47871
DB12376,Q9UBN7
D0OJ5M,P14324
D00SPK,O76074
DB12912,P12461
D04ZDD,P11926
D0SP3D,P14416
D0C9KC,P00533
D0M9RL,P23219
D08QAH,P23219
D02GZX,P23219
D0YI3V,P23219
D0JQ1T,P23219
D0W7BI,P27815
D01CAY,P27815
D0N2KP,P27815
D0J4AT,P27815
D06FHE,P11511
