drugid1,protein_name
D0U1YU,P47712
D0ND4N,P47712
D0Q1LD,P47712
D0PP8T,P47712
D01GZV,P47712
D07TCK,P47712
D05TZP,P47712
D06OXA,P47712
D05BTF,P47712
D0K1CU,P0A6R0
D0I7IH,P0A6R0
D0W7JJ,P0A6R0
D0MF1G,P0A6R0
D0OL2D,P0A6R0
D0BT1W,P0A6R0
D0J3DB,P0A6R0
D0TU2Z,P0A6R0
D0GU4M,P0A6R0
D0A0CZ,P0A6R0
D0W0IX,P0A6R0
DB00590,P25100
DB01103,P04054
D0JE3Z,Q969F8
D09YKH,P18031
D00MAN,Q8NER1
DB00246,P14416
D0BW7P,Q13489
D0BW7P,P98170
DB12760,P30542
DB16118,P30542
DB03305,P29475
DB03305,P35228
D0GX7G,P29475
D0GX7G,P29474
D0GX7G,P35228
DB00223,P04054
D02ENH,Q01959
D02ENH,P23975
D02ENH,P31645
DB06731,Q01959
DB06731,P23975
DB06731,P31645
D0XV0T,P04626
D0XV0T,P07900
DB00007,P01148
D03WYO,P41145
D03WYO,P35372
D0TN0D,P41143
D0TN0D,P41145
D04JFL,P41143
D04JFL,P41145
D04JFL,P35372
DB13606,P41143
DB13606,P41145
DB13606,P35372
D00HBR,P41143
D00HBR,P41145
D07REK,P28562
D07REK,P30305
D0SI7S,P30305
D07FFL,P28562
D0L5LN,P30305
DB12765,O75762
D05UMA,Q01959
D05UMA,P31645
DB09186,P31645
DB01232,P03366
D0U1IJ,P35354
D01TDC,P35228
D0U2CT,P12461
DB12239,P43235
DB03849,P27815
D04EIL,P51677
D02UUK,P14679
D0I9PA,P15538
D0VL3R,P15538
D0N1PQ,P11511
D0N1PQ,P05093
D08FAB,P11511
D0K2DR,P11511
D0K2DR,P15538
D0G9WP,P11511
D0G9WP,P15538
D0N1GH,P05093
D03YHZ,P15538
D02ZQM,P15538
D09CPC,P15538
D07WLT,P08684
D07WLT,P15538
D0E8DX,P15538
D0E8DX,P05093
D0O7TC,P15538
D0FU2V,P14416
D0FU2V,P35462
D09SDZ,P47211
D09SDZ,O43603
D02GOH,P34972
D0PE8U,P21554
D0PE8U,P34972
D0L1UA,P21554
D0L1UA,P34972
D05LMD,P06881
D06VWL,P30518
D09CVD,P47712
D08SIJ,P47712
D08YHD,P47712
D0N1CK,P47712
D0U2GX,P47712
D0F4WJ,P47712
DB16138,P11387
DB04881,P08183
DB00899,P35372
DB00938,P07550
D07VGG,P11245
D0Q3VS,P27338
D0C0MP,P21397
D07YZD,P27338
D0A4AB,P21397
D0A4AB,P27338
D01FTB,P27338
D0K8SK,P21397
D04ZPU,P21397
D04ZPU,P27338
D08SRB,P21397
D08SRB,P27338
DB01124,Q09428
DB01124,O60706
D0H6LR,P35346
D04VSM,P03470
D0W5CZ,P30542
D0W5CZ,P29274
D00MPA,P30542
D00MPA,P29274
D01IJX,P11511
D07TIJ,P11511
D0GL0L,P11511
D0M5EW,P11511
D0U6NJ,P11511
D0Y0QI,P11511
D0X8UK,P11511
D08PKR,P11511
D0OY1J,P11511
D0DJ3R,P11511
D0PU5V,P11511
D00ZPJ,P11511
D07PHT,P11511
D0T3ED,P11511
DB01051,Q02880
D0K3MR,Q92769
D02TQA,Q92769
D0W9BH,Q92769
D0AK8Q,Q92769
D0T8AJ,Q9UBN7
D0XU0G,Q9UBN7
D0Q4AV,Q9UBN7
D0G3ZH,Q9UBN7
D08XMS,Q13547
D08XMS,Q9UBN7
D0R8JK,Q9UBN7
D0TX9P,P14174
D09BVA,P14174
D03QNS,P14174
D0Y2OB,P14174
DB02728,P14174
D02AYI,P14555
D0C8MT,P09960
D0U9HN,P18031
D05UKJ,Q99835
DB01239,P14416
D06JFN,P34972
D02VIV,P27338
D0P0XO,P21397
D0P9CQ,Q13547
D0P9CQ,Q9BY41
DB05465,Q9UIK4
DB08864,P05177
DB05465,P54764
DB05465,O15197
DB05465,P29322
DB05465,P54756
DB05465,Q9UF33
DB05465,O15146
DB06480,Q62758
DB06480,Q13639
DB06480,P28566
DB06480,P30939
DB05465,Q9P0L2
DB01144,Q9ULX7
DB05465,Q13546
DB05465,P49760
DB01151,P31389
DB01151,P31390
DB01151,P35367
DB03523,Q63707
DB00549,P35367
DB00808,O15438
DB06144,P08909
DB05465,P00519
DB01238,P28223
DB01238,P14842
DB00389,O95342
DB05465,Q9UHD2
DB01144,P43166
DB00136,O95342
DB05465,Q59H18
DB05465,Q9Y2H9
DB03695,Q07422
DB03695,P00374
DB03695,P22906
DB03695,P00381
DB03695,P16184
DB03695,Q920D2
DB01238,P61169
DB01238,P18901
DB01238,P35462
DB07364,P49841
DB07364,P18266
DB01043,Q05586
DB01043,Q12879
DB03695,P0ABQ4
DB05465,P43405
DB07621,P08684
DB04725,P12527
DB04725,P09917
DB05465,Q04759
DB05465,P42681
DB07711,O95263
DB07711,O60658
DB01144,O43570
D06ONC,Q13547
D0I5XM,Q13547
D0I5XM,Q9BY41
D0H3RO,Q13547
D0H3RO,Q9BY41
D0D7KH,Q13547
D0D7KH,Q9BY41
D06THS,Q13547
D06THS,Q9BY41
D0S8AC,Q08210
D0PQ3Q,P23219
D0G7RA,P23219
D0OW4W,P23219
D01VRB,P23219
D01VRB,P35354
D0X4LI,P23219
D0X4LI,P35354
D02PLG,P23219
D0F0JU,P23219
D0F0JU,P35354
D0J6TU,P23219
D00XIX,P23219
D03TLR,P23219
D08RCQ,P23219
D05ACE,P21554
D0C6ED,P00918
D0C6ED,Q16790
D0X9LJ,P00915
D0X9LJ,P00918
D0X9LJ,Q16790
DB01041,P01375
DB07159,P07949
D0L1YA,P17252
D0L1YA,P05771
D0L1YA,P05129
D04FNY,P11362
DB07724,Q07869
DB07724,Q03181
DB07724,P37231
D04TDX,P09874
D0Z3PB,P09874
D0S8HZ,P09874
D0Z9DY,P09874
D0K7JT,P09874
D0UF0U,P09874
D00OZA,P09874
D08XPZ,P09874
D0L1NQ,P09874
D0T5TT,P09874
D07WPL,P09874
DB05423,P04150
DB05428,P30044
D06SPO,P15121
D06SPO,Q24803
D0TL3X,P06729
D0GD1A,P06729
D0GC3E,P06729
DB01393,Q07869
D04ZQJ,P09874
D0FF4M,P09874
D08GMO,P09874
D0M9TW,P09874
D0L1RZ,P09874
D0EI6X,P09874
D08QWR,P09874
D0M6WJ,P09874
DB00222,Q09428
DB00222,O60706
DB00172,P62937
DB11672,P14780
DB13716,O75762
DB00757,P46098
DB16404,Q96QT4
D0GJ1E,Q13547
D0A6CB,Q13547
D00LSZ,Q13547
D0L4ML,Q13547
D0K8MF,Q13547
D03FFI,Q13547
D0QX6R,Q13547
D0KM7H,Q13547
D0O7UF,Q13547
D04XPZ,Q13547
D0CJ7L,Q13547
D0L5WI,Q13547
D00RGD,Q13547
D0Z2VP,Q13547
DB12719,Q96RI1
D0UT2X,P80404
DB03560,P80404
D08ZIS,Q12809
D05JRA,Q13237
D06GAF,P34972
D0M4RW,P46098
D04QUB,P41145
DB01892,O75469
DB04876,P27487
DB16134,P27487
DB00187,P08588
D0PQ1U,P50406
D0T7VZ,P50406
D0Q7AF,P50406
DB09526,P14679
DB00600,P14679
DB00940,P08912
D00AVT,Q7Z2W7
DB05152,P11229
D0CP3M,P68400
DB00224,P03366
DB12863,P08246
D0DF3Z,P00533
D00TZD,P00533
DB00714,P14416
D0P5UW,P47712
D0E1WY,P47712
DB06700,P31645
DB06414,P03366
DB06705,P02768
D03YVO,P35372
D0K4MH,P23975
D0K4MH,P35372
D02VKX,P14679
D0M2EN,P14679
D02GLD,Q92731
DB00492,P12821
D0W1MX,P37268
D0K1QD,P23280
D0M3PO,Q16790
D0M3PO,P23280
D0OI1H,Q16790
D0OI1H,P23280
D0G0FJ,Q16790
D0G0FJ,P23280
D04VLI,Q16790
D04VLI,P23280
D05XZM,Q16790
D05XZM,P23280
D0P6AM,Q16790
D0P6AM,P23280
D0YU8J,Q16790
D0YU8J,P23280
D04CVC,Q16790
D04CVC,P23280
D01STY,Q16790
D01STY,P23280
D0Z1HY,Q16790
D0Z1HY,P23280
D0X6IE,Q16790
D0X6IE,P23280
D0NN3Q,P00918
D0NN3Q,Q16790
D0NN3Q,P23280
DB07050,Q16790
DB07050,P23280
D09PWX,Q16790
D09PWX,P23280
D0ZC3W,Q16790
D0ZC3W,P23280
D0V7VF,P48039
D0V7VF,P49286
D0F7SE,P06756
D07SFV,P06756
DB12670,P30542
DB06645,Q92847
D05GFD,P47211
D05GFD,O43603
D02GOE,P47211
D02GOE,O43603
D06DWA,P47211
D06DWA,O43603
D0DD3F,P47211
D0DD3F,O43603
D03ECE,P47211
D03ECE,O43603
D0EO5F,P47211
D0EO5F,O43603
D0Z3QG,P47211
D0Z3QG,O43603
D0TF7R,P47211
D0TF7R,O43603
DB00376,P13945
D08FZR,P10275
D04KPW,P10275
D09SJY,P10275
D08RCS,P10275
D0T7LR,P10275
D06PRV,P10275
D02CXU,P10275
D0FI1I,P10275
D07QFN,P10275
D06WNK,P10275
D0L7OC,P10275
D05FPU,P10275
D0BU5X,P10275
D03MQA,P10275
D0VE6A,P10275
D03VQC,P10275
D0P0ZQ,P10275
D00BLY,P10275
D07GCR,P10275
D01THF,P10275
D0U9IR,P10275
D0I5YU,P10275
D0J5AR,Q01959
D0J5AR,P23975
D0J5AR,P31645
D0T5VG,P23975
D0T5VG,P31645
D0Y3BI,Q01959
D0Y3BI,P23975
D0Y3BI,P31645
D09QZM,Q01959
D09QZM,P23975
D09QZM,P31645
D0L0AY,Q01959
D0L0AY,P23975
D0L0AY,P31645
D03HQF,Q01959
D03HQF,P23975
D03HQF,P31645
D0RT9B,Q01959
D0RT9B,P23975
D0RT9B,P31645
D0N0TQ,Q01959
D0N0TQ,P23975
D0N0TQ,P31645
D0IB6Y,Q01959
D0IB6Y,P23975
D0IB6Y,P31645
D02YSN,Q01959
D02YSN,P23975
D02YSN,P31645
D09TDI,P11229
D09TDI,P08172
D0YM6B,P17707
D03OLX,P17707
D0N7CQ,P05093
D04SHY,P05093
D0Q1FX,P05093
D0SM4F,P05093
DB00478,P06821
D06OFY,P34913
D08AZT,P34913
D09DPC,P34913
D01JJV,P34913
D0V8EQ,P34913
D0Q8NE,P34913
D04NJC,P34913
D0Z6SS,P34913
D0RK4K,P34913
D08WHU,P34913
DB16321,P34972
D0YW9C,P15090
D0IM5E,P10635
D03GNI,P10635
D03GNI,Q12809
DB00299,P04293
D0O8FW,P11413
D06MZK,P00918
D09ZUN,P00918
D0C9ZY,P00918
D0A0RT,P00918
D04LNI,P00918
D0C3SL,P00918
D0W1SL,P00918
DB11359,P00918
DB00287,P43088
DB00925,P14416
DB01067,P78508
DB00666,P30968
D05ZDQ,P35354
D0LB6L,P35354
D0C6WN,P35354
D0Q4CT,P35354
D0S9YA,P35354
D0U1UP,P35354
D0P9BG,P35354
D00LWQ,P35354
D05UPM,P35354
D01HFL,Q15761
D0MC5H,P42330
D00XMO,P42330
D0Q9RA,P42330
D0V5AQ,P42330
D0Z0IR,P42330
DB03225,P49019
DB00577,P04293
D0I3UA,P22303
D0I3UA,P06276
D0N9DB,P22303
D03HXD,P21397
D03HXD,P27338
D0V7RM,P21397
D0L5EW,P21397
D0L5EW,P27338
D02IDM,P21397
D02IDM,P27338
D0R4TI,P21397
D0IP7L,P21397
D0IP7L,P27338
D0BE0S,P21397
D00YVE,P21397
D01SBZ,P21397
D01SBZ,P27338
D00KQB,P21397
D0X0PA,P21397
D0H6UA,P21397
D08SCH,P21397
D02AQG,P21397
D0M0HM,P21397
DB00014,P01148
DB11994,P01584
DB06809,P61073
D01OLO,Q04864
D07VQW,P40189
D04HDZ,O14746
DB05513,P40763
DB09283,P22607
DB06410,P11473
DB13083,O43174
D0F5HB,P17252
D0F5HB,P05771
D0F5HB,Q04759
DB11693,Q08209
DB01283,P35354
D0E6GH,P41143
D0E6GH,P41145
D0E6GH,P35372
D0R6VF,P41143
D0R6VF,P41145
D0R6VF,P35372
DB00180,P04150
DB07159,P43405
D0RL8X,P11387
DB00691,P12821
DB00545,P22303
DB00489,P08588
D0C7PT,P11172
DB12064,P08581
D0J5EZ,P08254
D04LWL,P16083
DB08190,P16083
D0T5NO,P16083
D06UQR,P16083
D0S1AY,P16083
D08FHU,P16083
D05YCI,P16083
D09DRS,P16083
D08ISK,P16083
D0O4YS,P16083
D0XQ6T,P16083
D0L3AJ,P16083
DB11669,P01375
DB15784,P07550
D0Q5AT,P07550
D00WSM,P21397
D00WSM,P27338
D03PXS,P21397
D03PXS,P27338
D0H0GZ,P21397
D0H0GZ,P27338
D0E8IE,P21397
D0E8IE,P27338
D05HJT,P21397
D02KGZ,P27338
D06QNN,P27338
D06UEK,P00533
DB00881,P12821
DB01153,P10613
D0OT0O,P04293
DB01610,P04293
D04XGX,P34972
D0G6BG,P21554
D01RWS,P21554
D01RWS,P34972
D08MON,P21554
D0B9RI,P21554
D03REA,P21554
D03REA,P34972
DB01033,Q06203
D0SN6R,Q01959
D0SN6R,P23975
D0SN6R,P31645
D0XF5P,Q01959
D0XF5P,P23975
D0XF5P,P31645
D0XF5P,Q12809
D01GSG,P23975
D01GSG,P31645
D0E3DM,Q01959
D0E3DM,P23975
D0E3DM,P31645
D0E3DM,Q12809
D0KD9M,P23975
D0KD9M,P31645
D0S9AY,P23975
D0S9AY,P31645
D0S9AY,Q12809
D0Y7UJ,P31645
D01FFX,P46098
D01FFX,P23975
D01FFX,P31645
D01FFX,Q12809
D01AOI,Q01959
D01AOI,P23975
D01AOI,P31645
D06QIQ,P46098
D06QIQ,Q01959
D06QIQ,P23975
D06QIQ,P31645
D06QIQ,Q12809
D0T6OQ,P41143
D0T6OQ,P41145
D0T6OQ,P35372
D0D8AN,P41143
D0D8AN,P41145
D0D8AN,P35372
D0S0EK,P41143
D0S0EK,P41145
D0S0EK,P35372
D0Z2QM,P29274
D0A0VT,P29274
D0O6NS,P29274
D0E8RA,P30542
D0E8RA,P29274
D0E8RA,P29275
D0S6QA,P30542
D0S6QA,P29274
D0S6QA,P29275
D0W6FC,P30542
D0W6FC,P29274
D0W6FC,P29275
D0CX7N,P30542
D0CX7N,P29274
D0CX7N,P29275
D0CX7N,P0DMS8
D0W8RB,P30542
D0W8RB,P29274
D0Z8VU,P30542
D0Z8VU,P29274
D0Z8VU,P29275
D0Z8VU,P0DMS8
D04LZN,P30542
D04LZN,P29274
D04LZN,P29275
D04LZN,P0DMS8
D01QBK,P30542
D01QBK,P29274
D01QBK,P0DMS8
D0AI8F,P30542
D0AI8F,P29274
D0AI8F,P29275
D0AI8F,P0DMS8
D01WNA,P30542
D01WNA,P29274
D01WNA,P29275
D06KYP,P30542
D06KYP,P29274
D06KYP,P29275
D06KYP,P0DMS8
D0R8OK,P30542
D0R8OK,P29274
D0R8OK,P29275
D00CJJ,P30542
D00CJJ,P29274
D02HOL,P30542
D02HOL,P29274
D02HOL,P29275
D0N8RM,P29274
D0Q6KO,P29274
D0C1PS,P29274
D00MFV,P29274
D00MFV,P29275
D0S5XP,P30542
D0S5XP,P29274
D0S5XP,P29275
D02RBK,P30542
D02RBK,P29274
D0S4JI,P29274
D0E4UT,P29274
D04YUM,P29274
D0A6JX,P30542
D0A6JX,P29274
D0A6JX,P29275
D0V7MX,P29274
D0B3UE,P29274
D0B3UE,P0DMS8
D0OR5V,P29274
D03JFX,P30542
D03JFX,P29274
D0DB7A,P30542
D0DB7A,P29274
D0DB7A,P29275
D04JIR,P29274
D0E2FV,P29274
D04WHE,P30542
D04WHE,P29274
D04WHE,P29275
DB06624,P21554
D0V3OJ,P36897
D0I6EH,P03470
D0A2OH,P03470
D05KWF,P03470
D04UYB,P03470
D0DC1P,Q9Y5N1
D0Y5WD,Q9Y5N1
D0Z6TM,Q16790
DB12354,P23219
DB12354,P35354
D04PLB,P10275
D06ZZM,P10275
D04USO,P10275
D0B2JG,P10275
D08DHC,P10275
D04QAT,P10275
D06RID,Q13255
D0T7UG,Q13255
D00DJE,Q13255
D0H6YH,Q13255
DB02703,C1CC62
D02WCJ,P30989
DB02633,O60760
D0Q3KF,P18031
D0A4ML,P18031
D07JMN,Q13393
D0T3HK,Q13393
D0H7GQ,P39086
DB04149,P27815
DB04149,Q07343
DB03606,P27815
DB03606,Q07343
DB12292,P30559
D0IG5E,P30542
D0IG5E,P29274
D0IG5E,P29275
D0IG5E,P0DMS8
D0JJ6T,P30542
D0JJ6T,P29274
D0JJ6T,P29275
D0JJ6T,P0DMS8
D01MIP,P36888
D0U8OA,P35228
D02ZGN,P35228
D06JZQ,P35228
D07VFC,P29475
D07VFC,P29474
D07VFC,P35228
D08FXW,P29475
D08FXW,P29474
D08FXW,P35228
D00GYE,P35228
D00EVC,P29475
D00EVC,P29474
D00EVC,P35228
DB00701,P03366
D07JTZ,P34969
D04FUZ,Q9Y5N1
D01CGM,P28223
D09QHC,P00915
D09PWX,P00915
DB00374,P43119
DB02701,P09874
DB01207,P21731
D06PHT,P41146
D06PHT,P41143
D06PHT,P41145
D06PHT,P35372
D04VCE,P11597
D0B9UU,Q9NY46
D0B9UU,P35499
D0B9UU,Q9Y5Y9
D06AJP,P21397
D06AJP,P27338
D0X8HH,P21397
D0X8HH,P27338
D09XSB,P21397
D09XSB,P27338
D07GUX,P27338
D08GIM,P21860
D06IPT,Q08210
DB07286,P10275
DB08058,P09874
D07ZJC,P24941
D07ZJC,Q00534
D0U4EU,P52732
D0R7QF,P21554
D0R7QF,P34972
D0Q0XV,P21554
D0Q0XV,P34972
D0G2EQ,P21554
D0G2EQ,P34972
D0K7QP,P21554
D0K7QP,P34972
D0Z1NH,P21554
D0Z1NH,P34972
D0J7CR,P21554
D0J7CR,P34972
D04ECZ,P21554
D04ECZ,P34972
D0O0JB,Q04609
DB00642,P12461
D02BIK,P49840
D05ZIH,P41143
D05ZIH,P41145
D05ZIH,P35372
D00DJX,P03372
DB01242,P31645
D0S1II,P08581
D0U4JW,P08581
D0N5XG,P08581
D0S0GT,P08581
DB00987,P04293
D05HWN,P07900
DB00723,P35368
D0FD8G,P00915
D04RCR,P00915
D04RCR,P00918
D0Z1CL,P00915
D0Z1CL,P00918
D05NFU,P00915
D05NFU,P00918
D0A4HS,P00915
D0A4HS,P00918
D0X0RE,P00915
D0D2JA,P00915
D0D2JA,P00918
D0C8ZY,P00915
D0C8ZY,P00918
D0L8ZG,P00918
DB00907,Q01959
DB00907,P23975
DB00907,P31645
D06ERH,P27338
D0US0J,P27338
DB00500,P35354
D0I0DL,Q13224
DB00751,P35367
DB00654,P43088
D07RXJ,Q96IY4
D06LNX,P15085
D06LNX,Q96IY4
D0M7DE,P00918
D0LM8L,P00918
D0GI2R,P00918
DB11672,P47989
D0X7VB,P37231
DB06682,P35354
DB00966,P30556
D00DDO,P42330
DB01054,P54289
D0P0UV,P42345
DB01941,P10276
DB00900,P03366
D0O1YH,P68400
DB07352,P68400
DB01765,P68400
DB08846,P68400
DB07715,P68400
DB01226,Q15822
D0K4QW,P35354
D04DOL,Q13547
D04DOL,Q9UBN7
D0YP4F,Q13547
D0YP4F,Q9UBN7
D0T5OW,O00757
D0L8EN,O00757
DB07292,O00757
D0J3EJ,O00757
DB12041,P04150
DB04017,P21397
DB00519,P12821
D0J9QK,P41597
D01KYM,P41597
D0G3MD,P46098
D0G3MD,P14416
D0D6UC,P23219
D0D6UC,P35354
D06HTJ,P14416
D06HTJ,P35462
D0JQ7W,P9WGR1
D07UTV,P9WGR1
D05NWQ,P9WGR1
D09LQF,P9WGR1
D02TKC,P08684
D08TSE,P08684
D09REF,P08684
D0E2GV,P08684
DB05234,P10275
D0O4JU,P21453
DB07423,P10275
DB11940,P31350
DB00783,P03372
DB04573,P03372
DB00655,P03372
DB00377,P46098
D07OMY,P00915
D07OMY,P00918
D05SLL,Q05655
D05SLL,P17252
D0J4NI,Q05655
D0J4NI,P17252
DB01048,P03366
D0R2BM,Q01959
D02ICX,Q01959
D0J3NX,P41594
D00GQP,P47712
D05GUD,P47712
DB04861,P08588
DB01544,P30536
DB00772,P22303
D04RVW,P41594
D0F2KL,P41594
D0S1DD,P41594
D0C7TX,P41594
D0K7KM,P41594
D0V4TK,P41594
D05XNS,P41594
DB01390,O95180
DB01591,P20309
D0L1AV,P00390
DB00992,P22830
DB00505,P08912
DB16126,Q02153
D0I8QS,P35354
D06KCU,Q786F3
D08QTP,P32754
D0MT1N,P14416
D06GGB,P14416
D01ADA,P14416
D06XKX,P14416
D0P2UM,Q9Y5N1
DB08981,P23219
DB08981,P35354
DB00668,P08588
D0N3FL,Q9H244
DB09031,P04054
D06AEO,P10275
D07DLA,P06213
D05XCV,P35372
D0I1ZN,P35372
D09SBU,P41145
D09SBU,P35372
D0I2CE,P41143
D0I2CE,P41145
D0I2CE,P35372
D0Z8JX,P41143
D0Z8JX,P41145
D0Z8JX,P35372
D09BWX,P41145
D09BWX,P35372
D06KFX,P41143
D06KFX,P41145
D06KFX,P35372
D07QUY,P41145
D07QUY,P35372
D0D5VD,P41145
D0D5VD,P35372
D0P5IH,P41145
D0P5IH,P35372
D0Q6CF,P41145
D0Q6CF,P35372
DB00771,P11229
DB06267,O76074
DB00947,P03372
D08KUO,P00807
D0XF5X,P00807
D0R6DA,P00807
D0I7DN,P00807
DB00539,P03372
D0R8DO,Q99835
D0H6BV,P10828
D07MAF,P10828
D07MAF,Q12809
D05XMM,P10828
D0U6XP,Q01726
D0U6XP,P32245
D0N6AS,P32245
D0A0FK,P22303
D0WZ4J,P53350
DB00692,P14416
D0C5VQ,P24394
D0Y1TA,P09917
D01JYF,P09917
D01JYF,P23219
D01JYF,P35354
D0NB0I,P35354
D0S7ZQ,P09917
D0S7ZQ,P23219
D0R6ZC,P09917
D0R6ZC,P23219
D0R6ZC,P35354
D01OFH,P09917
D01OFH,P23219
D01OFH,P35354
D0J5OV,P09917
D0Z0PB,Q8NER1
D00CMV,Q8NER1
DB06468,P19634
D0UV4H,P51681
DB00979,P08912
DB12863,Q9UNI1
DB13139,P07550
DB00571,P08588
D0UH6R,P09917
D05IQL,P09917
D0SS4S,P09917
D03KMG,P22303
D09JZY,P22303
DB00910,P11473
DB01156,P23975
DB01156,P31645
DB00285,P23975
DB00285,P31645
DB00337,Q08209
D0M4CX,P11511
D09MYQ,P11511
DB00766,P00807
DB01582,P0AC13
DB00790,P12821
DB01319,P03366
DB00251,P10613
DB00724,Q9NYK1
DB00316,P23975
DB00316,P31645
DB01151,P23975
DB12271,Q9BYF1
D0F8HX,P31749
D0EI8V,P35354
D02UJV,P34913
D01OZF,P34913
DB00869,P00918
D0M3PO,P00915
D0G0FJ,P00918
D05XZM,P00915
D0P6AM,P00915
D0YU8J,P00915
D01STY,P00915
D0X6IE,P00915
DB07050,P00915
D06CIH,P32238
D0Y1LJ,P50406
DB12116,P50281
DB12116,P08253
DB01367,P27338
DB05590,P07550
D0WD8M,P08913
D07UBG,P30556
DB06652,P51681
D05KUM,Q12809
D0W9UV,P29475
D07PYV,P29475
DB00104,P30874
D0N2TP,P41594
D0D3FF,P41594
D0O4QX,P41594
D0A3JR,P00915
D0A3JR,P00918
D0O0UE,P00915
D0O0UE,P00918
D09LWR,P00915
D09LWR,P00918
D06XNT,P00915
D06XNT,P00918
D0X5DT,Q13133
D0L1CX,Q13133
D0R8LN,Q13133
D0R8LN,P55055
D0X2HK,Q13133
D07XLQ,Q13133
DB01626,P27338
DB01126,Q9H8P0
DB01216,Q9H8P0
DB01320,Q14524
DB00532,Q14524
DB00973,Q9UHC9
DB00255,P03372
DB00722,P12821
DB00584,P12821
DB01084,P35367
DB01050,P10145
D0ZL4F,P10145
D05EMX,P10145
D0Q8ZV,P10145
D08GOT,P10145
D0T8RL,P10145
D0P4QS,P35354
D07TWV,P09917
DB00145,Q12879
DB06202,P03420
D02TNS,P03420
DB01004,P04293
D08QBS,P41145
D08QBS,Q12809
DB11315,P08172
DB01026,P10613
DB01175,P31645
DB13059,O14965
DB12611,O14757
D0IX4B,P06493
D0IX4B,P24941
D0IX4B,P11802
D05IRT,P06493
D05IRT,P11802
D05IRT,P50750
DB06195,P06493
DB06195,P50613
DB04878,O43451
D0W6TG,P29274
D0W6TG,P29275
D0A9BZ,P30542
D0A9BZ,P29274
DB00206,Q05940
D0D3RL,P12931
D0D8OY,P12931
DB05383,P35228
D0W6YX,Q13255
D0B5RX,Q13255
D0B5RX,P41594
D06GPP,Q13255
DB13751,P28845
DB06274,P35372
DB01606,P00807
D09TDY,Q16602
D07HWJ,P41146
DB00555,Q9UI33
DB01581,P0AC13
DB00891,P0AC13
D0M9IC,Q9Y5N1
DB02638,P37288
DB00343,P54289
D07GCA,Q9Y5Y4
D0V5HF,P10275
D0O0ZC,P10275
DB07352,P10275
DB07776,P10275
D0G3TK,P10275
D06YKU,P10275
D0G8SQ,Q92523
DB01411,Q9Y271
D07HPJ,P06213
D0S9KH,P04150
D0N2KU,Q01959
D0N2KU,P08173
D0N2KU,P08912
D0N2KU,P23975
D0N2KU,P31645
D00JTE,P11229
D00JTE,P08172
D00JTE,P20309
DB09026,P00797
DB00528,P54289
D05EWZ,P41145
D05EWZ,P35372
DB01590,P42345
DB04896,P23975
DB00162,P48443
D06QLG,P35372
D01CAC,P28845
D0KG3M,P28845
D04LGV,P28845
D03KRW,P28845
D0M3XF,P28845
D0Q2TF,P28845
DB01296,P01584
DB00530,P00533
D0O1GE,P27338
D01HQV,P27338
D0R9TX,P27338
D0D4RW,P42574
D0B6VI,P42574
D01XMM,P42574
D0N5MU,P42574
D09BXH,P25779
D0E3DF,Q01959
D0E3DF,P31645
D09RCL,Q01959
D09RCL,P31645
D0D9FA,Q01959
D0D9FA,P31645
D0P2LE,P41145
D0P2LE,P35372
D0X5YM,P11217
D0KS6A,P11217
D0G9FQ,P11217
D08ZIA,P11217
D05LDI,P11217
D07ZJM,P11217
D09NIM,P11217
D08VUO,P11217
D00ASL,P11217
D0L0ZC,P48736
DB12387,P42345
DB11666,P42336
DB11666,P42338
DB11666,O00329
DB11666,P48736
D0S0SH,P34913
DB13053,Q15722
D0H4CF,P00918
D0BD0K,P00918
D04HRS,P00918
D0SV6C,P00918
D08TWI,P34913
D0B0MU,P34913
D0C8HN,P34913
D0X1EG,P34913
D07UIO,P34913
D02CKF,P34913
D0U0WU,P34913
D07HWV,P34913
D08AKP,P34913
D01CGC,P34913
D03CSL,P34913
D07BJC,P34913
D00CHD,P34913
D05IKY,P34913
D0AT6Z,P34913
D08XYV,P34913
D02ATA,P34913
D03IVU,P34913
DB02347,P39086
D04MLU,Q12809
D0I0UW,P35367
D0I0UW,Q12809
D08TBU,P35367
D0H8XV,P35367
D0H8XV,P11229
D0H8XV,Q12809
D0M0BM,P22303
D0M0BM,P06276
D0L6ND,P39900
D03DEO,P15121
D0C4RB,P10415
DB12263,P49768
D01NEZ,P00734
D0V7RD,P00734
D0H5WV,P00734
D0P0IX,P11229
D0P0IX,P08172
D0P0IX,P20309
D0P0IX,P08173
D0P0IX,P08912
D0IQ0S,P35372
D0F8CD,P35372
D0J5IR,P35372
D0W3PR,P35372
D0KQ8A,P35372
D0R6VX,P35372
D0C3CS,P29475
D0C3CS,P35228
D0U8TM,P35228
DB02207,P29475
D04ZYA,P14416
D0UL6I,P14416
D05GBE,P14416
DB13757,P13945
D0L9YP,P10635
D0L9YP,P41143
D0L9YP,P41145
D0L9YP,P35372
D0L9YP,Q12809
DB15492,P14416
D0A4HF,P56524
D0PK9V,P56524
D0FN5D,P56524
D03QOD,P56524
D0I4RK,P56524
D03BQS,P56524
D0C1EP,P34913
D0IM1Q,P34913
D00HAZ,P34913
D0Z0XL,P34913
DB06422,P46098
DB06422,Q13639
D03VUU,P28223
D03VUU,P35367
D0B0PP,P35367
D04SCQ,P28223
D04SCQ,P35367
D05YFZ,P28223
D05YFZ,P35367
